===== Experiment Log Start ======================================

===== 2025-10-09 20:50:16.946922 == New Experiment: Salt & Pepper Noise =====
dataset  nmf_type  k  max_runs  RRE_mean  RRE_std  ACC_mean  ACC_std  NMI_mean  NMI_std  noise_type  noise_p  noise_r block_ratio num_blocks normalization
    ORL       L21 40         5  0.262864 0.000534  0.523889 0.026851  0.682218 0.015920      block    None    None          0.3           1     per_image
    ORL       L21 40         5  0.236562 0.000440  0.617778 0.025975  0.755469 0.013930      block    None    None          0.3           2     per_image
    ORL       L21 40         5  0.217199 0.000775  0.647778 0.031496  0.779505 0.020793      block    None    None          0.3           3     per_image
    ORL       L21 40         5  0.323974 0.000407  0.410000 0.036582  0.581888 0.031939      block    None    None          0.4           1     per_image
    ORL       L21 40         5  0.280445 0.000687  0.529444 0.027307  0.685353 0.018573      block    None    None          0.4           2     per_image
    ORL       L21 40         5  0.254612 0.000590  0.580000 0.019437  0.729460 0.017751      block    None    None          0.4           3     per_image
   YALE Frobenius 38         5  0.212030 0.000584  0.213761 0.004717  0.295145 0.012323      block    None    None          0.1           1     per_image
   YALE Frobenius 38         5  0.202780 0.000394  0.233938 0.011981  0.316459 0.012998      block    None    None          0.1           2     per_image
   YALE Frobenius 38         5  0.199026 0.000438  0.240725 0.005985  0.327687 0.011196      block    None    None          0.1           3     per_image
   YALE Frobenius 38         5  0.371589 0.001425  0.139656 0.004899  0.185986 0.008852      block    None    None          0.2           1     per_image
   YALE Frobenius 38         5  0.289520 0.001325  0.164947 0.008038  0.225479 0.016974      block    None    None          0.2           2     per_image
   YALE Frobenius 38         5  0.250344 0.000868  0.192004 0.007862  0.254827 0.008317      block    None    None          0.2           3     per_image
   YALE Frobenius 38         5  0.514869 0.001013  0.109995 0.006338  0.130175 0.006447      block    None    None          0.3           1     per_image
   YALE Frobenius 38         5  0.418464 0.001025  0.131195 0.005697  0.169701 0.007539      block    None    None          0.3           2     per_image
   YALE Frobenius 38         5  0.357433 0.001380  0.143468 0.003818  0.189564 0.012217      block    None    None          0.3           3     per_image
   YALE Frobenius 38         5  0.692531 0.000457  0.089912 0.004925  0.088459 0.008720      block    None    None          0.4           1     per_image
   YALE Frobenius 38         5  0.548577 0.000830  0.111390 0.007194  0.124260 0.014498      block    None    None          0.4           2     per_image
   YALE Frobenius 38         5  0.469378 0.001342  0.119758 0.012057  0.149121 0.012823      block    None    None          0.4           3     per_image
   YALE       L21 38         5  0.221880 0.000334  0.226220 0.006798  0.303176 0.005787      block    None    None          0.1           1     per_image
   YALE       L21 38         5  0.212517 0.000379  0.235518 0.013787  0.323460 0.007205      block    None    None          0.1           2     per_image
   YALE       L21 38         5  0.208958 0.000125  0.233008 0.005304  0.326131 0.012742      block    None    None          0.1           3     per_image
   YALE       L21 38         5  0.383085 0.001850  0.141980 0.006980  0.184573 0.015894      block    None    None          0.2           1     per_image
   YALE       L21 38         5  0.295809 0.000615  0.181311 0.004876  0.235024 0.014800      block    None    None          0.2           2     per_image
   YALE       L21 38         5  0.256881 0.000961  0.194886 0.007028  0.269350 0.006933      block    None    None          0.2           3     per_image
   YALE       L21 38         5  0.529334 0.000345  0.107857 0.005516  0.124235 0.013715      block    None    None          0.3           1     per_image
   YALE       L21 38         5  0.427239 0.001643  0.140214 0.007042  0.178049 0.016088      block    None    None          0.3           2     per_image
   YALE       L21 38         5  0.364539 0.001872  0.154626 0.005914  0.208156 0.009480      block    None    None          0.3           3     per_image
   YALE       L21 38         5  0.711138 0.000728  0.089075 0.004617  0.084613 0.003712      block    None    None          0.4           1     per_image
   YALE       L21 38         5  0.559658 0.000787  0.116876 0.006365  0.131014 0.012899      block    None    None          0.4           2     per_image
   YALE       L21 38         5  0.476803 0.001786  0.130265 0.009633  0.164233 0.016416      block    None    None          0.4           3     per_image

